locality,lga_name,abs_lga_code,regional_group,category,subcategory,display_name,poi_count
MURCHISON EAST,GREATER SHEPPARTON,22830,Goulburn,public_transport,stop_position,Public Transport Stop Position,1
MURCHISON EAST,GREATER SHEPPARTON,22830,Goulburn,recreation,nature_reserve,Nature Reserve,3
MURMUNGEE,WANGARATTA,26700,Ovens Murray,community,town_hall,Town Hall,2
MURMUNGEE,WANGARATTA,26700,Ovens Murray,recreation,nature_reserve,Nature Reserve,6
MURPHYS CREEK,LODDON,23940,Loddon Campaspe,recreation,nature_reserve,Nature Reserve,10
MURRABIT,GANNAWARRA,22250,Mallee,community,community_centre,Community Centre,2
MURRABIT,GANNAWARRA,22250,Mallee,education,school,School,2
MURRABIT,GANNAWARRA,22250,Mallee,recreation,garden,Garden,2
MURRABIT,GANNAWARRA,22250,Mallee,recreation,nature_reserve,Nature Reserve,1
MURRABIT,GANNAWARRA,22250,Mallee,recreation,playground,Playground,2
MURRABIT,GANNAWARRA,22250,Mallee,shopping,supermarket,Supermarket,2
MURRAY-SUNSET,MILDURA,24780,Mallee,recreation,nature_reserve,Nature Reserve,34
MURRAYVILLE,MILDURA,24780,Mallee,community,community_centre,Community Centre,1
MURRAYVILLE,MILDURA,24780,Mallee,community,library,Library,1
MURRAYVILLE,MILDURA,24780,Mallee,education,kindergarten,Kindergarten,2
MURRAYVILLE,MILDURA,24780,Mallee,education,school,School,2
MURRAYVILLE,MILDURA,24780,Mallee,healthcare,pharmacy,Pharmacy,1
MURRAYVILLE,MILDURA,24780,Mallee,public_transport,bus_stop,Bus Stop,1
MURRAYVILLE,MILDURA,24780,Mallee,public_transport,platform,Public Transport Platform,2
MURRAYVILLE,MILDURA,24780,Mallee,public_transport,stop_position,Public Transport Stop Position,2
MURRAYVILLE,MILDURA,24780,Mallee,recreation,nature_reserve,Nature Reserve,9
MURRAYVILLE,MILDURA,24780,Mallee,recreation,park,Park,4
MURRAYVILLE,MILDURA,24780,Mallee,recreation,sports_centre,Sports Centre,2
MURRAYVILLE,MILDURA,24780,Mallee,shopping,supermarket,Supermarket,1
MURRINDAL,EAST GIPPSLAND,22110,Gippsland,recreation,nature_reserve,Nature Reserve,4
MURRINDINDI,MURRINDINDI,25620,Goulburn,recreation,nature_reserve,Nature Reserve,7
MURTOA,YARRIAMBIACK,27630,Wimmera Southern Mallee,community,community_centre,Community Centre,3
MURTOA,YARRIAMBIACK,27630,Wimmera Southern Mallee,education,kindergarten,Kindergarten,1
MURTOA,YARRIAMBIACK,27630,Wimmera Southern Mallee,education,school,School,4
MURTOA,YARRIAMBIACK,27630,Wimmera Southern Mallee,healthcare,hospital,Hospital,2
MURTOA,YARRIAMBIACK,27630,Wimmera Southern Mallee,public_transport,platform,Public Transport Platform,3
MURTOA,YARRIAMBIACK,27630,Wimmera Southern Mallee,public_transport,stop_position,Public Transport Stop Position,2
MURTOA,YARRIAMBIACK,27630,Wimmera Southern Mallee,recreation,nature_reserve,Nature Reserve,10
MURTOA,YARRIAMBIACK,27630,Wimmera Southern Mallee,recreation,park,Park,4
MURTOA,YARRIAMBIACK,27630,Wimmera Southern Mallee,recreation,playground,Playground,3
MURTOA,YARRIAMBIACK,27630,Wimmera Southern Mallee,recreation,sports_centre,Sports Centre,2
MURTOA,YARRIAMBIACK,27630,Wimmera Southern Mallee,shopping,convenience_store,Convenience Store,2
MURTOA,YARRIAMBIACK,27630,Wimmera Southern Mallee,shopping,supermarket,Supermarket,1
MUSK,HEPBURN,22910,Central Highlands,public_transport,railway_halt,Railway Halt,2
MUSK,HEPBURN,22910,Central Highlands,recreation,nature_reserve,Nature Reserve,4
MUSK VALE,HEPBURN,22910,Central Highlands,public_transport,bus_stop,Bus Stop,2
MUSKERRY,CAMPASPE,21370,Loddon Campaspe,recreation,nature_reserve,Nature Reserve,3
MYALL (KERANG),GANNAWARRA,22250,Mallee,recreation,nature_reserve,Nature Reserve,1
MYALL (SEA LAKE),BULOKE,21270,Mallee,recreation,garden,Garden,6
MYALL (SEA LAKE),BULOKE,21270,Mallee,recreation,nature_reserve,Nature Reserve,2
MYERS FLAT,GREATER BENDIGO,22620,Loddon Campaspe,recreation,nature_reserve,Nature Reserve,3
MYRNIONG,MOORABOOL,25150,Central Highlands,education,school,School,2
MYRNIONG,MOORABOOL,25150,Central Highlands,recreation,nature_reserve,Nature Reserve,3
MYRNIONG,MOORABOOL,25150,Central Highlands,recreation,park,Park,4
